page	styled	simpleFonts	strictRejected	oneByteAccepted	otherRejected	shows	decoded	measured	invalid
1	true	1	1	1	-	0	0	0	gs@447
3	true	1	1	1	-	0	0	0	gs@447
4	true	1	1	1	-	0	0	0	gs@447
5	true	3	3	3	-	0	0	0	gs@447
6	true	3	3	3	-	0	0	0	gs@447
8	true	4	4	4	-	0	0	0	gs@447
9	true	3	3	3	-	0	0	0	gs@447
10	true	5	5	5	-	0	0	0	gs@447
11	true	4	4	4	-	0	0	0	gs@447
12	true	3	3	3	-	0	0	0	gs@447
13	true	3	3	3	-	0	0	0	gs@447
14	true	4	4	4	-	0	0	0	gs@447
15	true	4	4	4	-	0	0	0	gs@447
16	true	3	3	3	-	0	0	0	gs@447
17	true	4	4	4	-	0	0	0	gs@447
18	true	3	3	3	-	0	0	0	gs@447
19	true	5	5	5	-	0	0	0	gs@447
20	true	4	4	4	-	0	0	0	gs@447
21	true	5	5	5	-	0	0	0	gs@447
22	true	4	4	4	-	0	0	0	gs@447
24	true	4	4	4	-	0	0	0	gs@447
25	true	4	4	4	-	0	0	0	gs@447
26	true	5	5	5	-	0	0	0	gs@447
27	true	4	4	4	-	0	0	0	gs@447
28	true	4	4	4	-	0	0	0	gs@447
29	true	3	3	3	-	0	0	0	gs@447
30	true	4	4	4	-	0	0	0	gs@447
31	true	4	4	4	-	0	0	0	gs@447
32	true	4	4	4	-	0	0	0	gs@447
33	true	4	4	4	-	0	0	0	gs@447
34	true	4	4	4	-	0	0	0	gs@447
35	true	6	6	6	-	0	0	0	gs@447
36	true	3	3	3	-	0	0	0	gs@447
37	true	4	4	4	-	0	0	0	gs@447
38	true	4	4	4	-	0	0	0	gs@447
39	true	4	4	4	-	0	0	0	gs@447
40	true	3	3	3	-	0	0	0	gs@447
41	true	4	4	4	-	0	0	0	gs@447
42	true	3	3	3	-	0	0	0	gs@447
43	true	4	4	4	-	0	0	0	gs@447
44	true	4	4	4	-	0	0	0	gs@447
45	true	3	3	3	-	0	0	0	gs@447
46	true	3	3	3	-	0	0	0	gs@447
47	true	3	3	3	-	0	0	0	gs@447
48	true	2	2	2	-	0	0	0	gs@447
50	true	4	4	4	-	0	0	0	gs@447
51	true	5	5	5	-	0	0	0	gs@447
52	true	5	5	5	-	0	0	0	gs@447
53	true	5	5	5	-	0	0	0	gs@447
54	true	5	5	5	-	0	0	0	gs@447
55	true	4	4	4	-	0	0	0	gs@447
56	true	5	5	5	-	0	0	0	gs@447
57	true	3	3	3	-	0	0	0	gs@447
58	true	4	4	4	-	0	0	0	gs@447
59	true	4	4	4	-	0	0	0	gs@447
60	true	4	4	4	-	0	0	0	gs@447
61	true	4	4	4	-	0	0	0	gs@447
62	true	3	3	3	-	0	0	0	gs@447
63	true	3	3	3	-	0	0	0	gs@447
64	true	5	5	5	-	0	0	0	gs@447
66	true	4	4	4	-	0	0	0	gs@447
67	true	4	4	4	-	0	0	0	gs@447
68	true	5	5	5	-	0	0	0	gs@447
69	true	4	4	4	-	0	0	0	gs@447
70	true	6	6	6	-	0	0	0	gs@447
71	true	4	4	4	-	0	0	0	gs@447
72	true	4	4	4	-	0	0	0	gs@447
73	true	4	4	4	-	0	0	0	gs@447
74	true	5	5	5	-	0	0	0	gs@447
75	true	3	3	3	-	0	0	0	gs@447
76	true	5	5	5	-	0	0	0	gs@447
77	true	6	6	6	-	0	0	0	gs@447
78	true	4	4	4	-	0	0	0	gs@447
79	true	4	4	4	-	0	0	0	gs@447
80	true	4	4	4	-	0	0	0	gs@447
81	true	5	5	5	-	0	0	0	gs@447
82	true	6	6	6	-	0	0	0	gs@447
83	true	5	5	5	-	0	0	0	gs@447
84	true	4	4	4	-	0	0	0	gs@447
85	true	3	3	3	-	0	0	0	gs@447
86	true	6	6	6	-	0	0	0	gs@447
88	true	4	4	4	-	0	0	0	gs@447
89	true	3	3	3	-	0	0	0	gs@447
90	true	3	3	3	-	0	0	0	gs@447
91	true	4	4	4	-	0	0	0	gs@447
92	true	5	5	5	-	0	0	0	gs@447
93	true	4	4	4	-	0	0	0	gs@447
94	true	4	4	4	-	0	0	0	gs@447
95	true	3	3	3	-	0	0	0	gs@447
96	true	3	3	3	-	0	0	0	gs@447
97	true	7	7	7	-	0	0	0	gs@447
98	true	4	4	4	-	0	0	0	gs@447
99	true	5	5	5	-	0	0	0	gs@447
100	true	3	3	3	-	0	0	0	gs@447
101	true	3	3	3	-	0	0	0	gs@447
102	true	3	3	3	-	0	0	0	gs@447
103	true	5	5	5	-	0	0	0	gs@447
104	true	3	3	3	-	0	0	0	gs@447
105	true	4	4	4	-	0	0	0	gs@447
106	true	3	3	3	-	0	0	0	gs@447
107	true	3	3	3	-	0	0	0	gs@447
108	true	4	4	4	-	0	0	0	gs@447
109	true	6	6	6	-	0	0	0	gs@447
110	true	3	3	3	-	0	0	0	gs@447
111	true	3	3	3	-	0	0	0	gs@447
112	true	3	3	3	-	0	0	0	gs@447
113	true	4	4	4	-	0	0	0	gs@447
114	true	4	4	4	-	0	0	0	gs@447
115	true	1	1	1	-	0	0	0	gs@447
116	true	4	4	4	-	0	0	0	gs@447
117	true	4	4	4	-	0	0	0	gs@447
118	true	4	4	4	-	0	0	0	gs@447
119	true	4	4	4	-	0	0	0	gs@447
120	true	7	7	7	-	0	0	0	gs@447
121	true	6	6	6	-	0	0	0	gs@447
122	true	4	4	4	-	0	0	0	gs@447
123	true	6	6	6	-	0	0	0	gs@447
124	true	4	4	4	-	0	0	0	gs@447
125	true	4	4	4	-	0	0	0	gs@447
126	true	4	4	4	-	0	0	0	gs@447
127	true	3	3	3	-	0	0	0	gs@447
128	true	5	5	5	-	0	0	0	gs@447
129	true	3	3	3	-	0	0	0	gs@447
130	true	4	4	4	-	0	0	0	gs@447
131	true	3	3	0	codespace(<00> <EF> <F000> <FFFF>)=3	0	0	0	gs@447
132	true	4	4	4	-	0	0	0	gs@447
133	true	2	2	2	-	0	0	0	gs@447
135	true	2	2	2	-	0	0	0	gs@447
